Area,YEAR.WEEK,SUMMER,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DAYS,UNEMPLOYMENT,UTILITY.GAS,CRIMES
CP,2006,0,0,0,0,0,0,0,0,0,0,0,0,1,39889,1.705,143
CP,2006.01,0,0,0,0,0,0,0,0,0,0,0,0,7,39889,1.705,822
CP,2006.02,0,0,0,0,0,0,0,0,0,0,0,0,7,39889,1.705,799
CP,2006.03,0,0,0,0,0,0,0,0,0,0,0,0,7,39889,1.705,846
CP,2006.04,0,0,0,0,0,0,0,0,0,0,0,0,7,39889,1.705,782
CP,2006.05,0,0,0,0,0,0,0,0,0,0,0,0,7,39889,1.705,853
CP,2006.06,0,1,0,0,0,0,0,0,0,0,0,0,7,39051,1.705,707
CP,2006.07,0,1,0,0,0,0,0,0,0,0,0,0,7,39051,1.705,649
CP,2006.08,0,1,0,0,0,0,0,0,0,0,0,0,7,39051,1.705,807
CP,2006.09,0,1,0,0,0,0,0,0,0,0,0,0,7,39051,1.705,813
CP,2006.1,0,0,1,0,0,0,0,0,0,0,0,0,7,37543,1.671,840
CP,2006.11,0,0,1,0,0,0,0,0,0,0,0,0,7,37543,1.671,789
CP,2006.12,0,0,1,0,0,0,0,0,0,0,0,0,7,37543,1.671,747
CP,2006.13,0,0,1,0,0,0,0,0,0,0,0,0,7,37543,1.671,845
CP,2006.14,0,0,0,1,0,0,0,0,0,0,0,0,7,35645,1.663,786
CP,2006.15,0,0,0,1,0,0,0,0,0,0,0,0,7,35645,1.663,931
CP,2006.16,0,0,0,1,0,0,0,0,0,0,0,0,7,35645,1.663,860
CP,2006.17,0,0,0,1,0,0,0,0,0,0,0,0,7,35645,1.663,831
CP,2006.18,0,0,0,0,1,0,0,0,0,0,0,0,7,37946,1.663,854
CP,2006.19,0,0,0,0,1,0,0,0,0,0,0,0,7,37946,1.663,867
CP,2006.2,0,0,0,0,1,0,0,0,0,0,0,0,7,37946,1.663,803
CP,2006.21,0,0,0,0,1,0,0,0,0,0,0,0,7,37946,1.663,912
